,employeeID,employeeName,employeeTitle,employee_city,employee_country,managerName,managerTitle,managerCity,managerCountry,path,reportsTo,orderID,customerID,orderDate,requiredDate,shippedDate,shipperID,freight,customerName,contactName,contactTitle,customer_city,customer_country,productID,order_details_unit_price,quantity,discount,Revenue,productName,quantityPerUnit,product_unit_price,discontinued,categoryID,categoryName,description,shipperName
0,2,Andrew Fuller,Vice President Sales,New York,USA,,,New York,USA,Andrew Fuller,,10265,BLONP,2013-07-25,2013-08-22,2013-08-12,1,55.28,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,17,31.2,30,0.0,936.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
1,4,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,Sales Manager,New York,USA,"Andrew Fuller,Laura Callahan,Margaret Peacock",8.0,10430,ERNSH,2014-01-30,2014-02-13,2014-02-03,1,458.78,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,17,31.2,45,0.2,1395.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
2,4,Margaret Peacock,Sales Representative,New York,USA,Laura Callahan,Sales Manager,New York,USA,"Andrew Fuller,Laura Callahan,Margaret Peacock",8.0,10698,ERNSH,2014-10-09,2014-11-06,2014-10-17,1,272.47,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,17,39.0,8,0.05,311.6,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
3,2,Andrew Fuller,Vice President Sales,New York,USA,,,New York,USA,Andrew Fuller,,10686,PICCO,2014-09-30,2014-10-28,2014-10-08,1,96.5,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,Austria,17,39.0,30,0.2,1164.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
4,5,Steven Buchanan,Sales Manager,London,UK,Andrew Fuller,Vice President Sales,New York,USA,"Andrew Fuller,Steven Buchanan",2.0,10607,SAVEA,2014-07-22,2014-08-19,2014-07-25,1,200.24,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,17,39.0,100,0.0,3900.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
5,1,Nancy Davolio,Sales Representative,New York,USA,Laura Callahan,Sales Manager,New York,USA,"Andrew Fuller,Laura Callahan,Nancy Davolio",8.0,11064,SAVEA,2015-05-01,2015-05-29,2015-05-04,1,30.09,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA,17,39.0,77,0.1,2995.2999999999997,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
6,7,Robert King,Sales Representative,London,UK,Steven Buchanan,Sales Manager,London,UK,"Andrew Fuller,Steven Buchanan,Robert King",5.0,10890,DUMON,2015-02-16,2015-03-16,2015-02-18,1,32.76,Du monde entier,Janine Labrune,Owner,Nantes,France,17,39.0,15,0.0,585.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
7,2,Andrew Fuller,Vice President Sales,New York,USA,,,New York,USA,Andrew Fuller,,10727,REGGC,2014-11-03,2014-12-01,2014-12-05,1,89.9,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,Italy,17,39.0,20,0.05,779.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
8,8,Laura Callahan,Sales Manager,New York,USA,Andrew Fuller,Vice President Sales,New York,USA,"Andrew Fuller,Laura Callahan",2.0,10852,RATTC,2015-01-26,2015-02-09,2015-01-30,1,174.05,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,17,39.0,6,0.0,234.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
9,3,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,Sales Manager,New York,USA,"Andrew Fuller,Laura Callahan,Janet Leverling",8.0,10911,GODOS,2015-02-26,2015-03-26,2015-03-05,1,38.19,Godos Cocina Típica,José Pedro Freyre,Sales Manager,Sevilla,Spain,17,39.0,12,0.0,468.0,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
10,3,Janet Leverling,Sales Representative,New York,USA,Laura Callahan,Sales Manager,New York,USA,"Andrew Fuller,Laura Callahan,Janet Leverling",8.0,10415,HUNGC,2014-01-15,2014-02-12,2014-01-24,1,0.2,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,Elgin,USA,17,31.2,2,0.0,62.4,Alice Mutton,20 - 1 kg tins,39.0,1,6,Meat & Poultry,Prepared meats,Speedy Express
11,6,Michael Suyama,Sales Representative,London,UK,Steven Buchanan,Sales Manager,London,UK,"Andrew Fuller,Steven Buchanan,Michael Suyama",5.0,10559,BLONP,2014-06-05,2014-07-03,2014-06-13,1,8.05,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,Strasbourg,France,55,24.0,18,0.05,431.09999999999997,Pâté chinois,24 boxes x 2 pies,24.0,0,6,Meat & Poultry,Prepared meats,Speedy Express
12,2,Andrew Fuller,Vice President Sales,New York,USA,,,New York,USA,Andrew Fuller,,10280,BERGS,2013-08-14,2013-09-11,2013-09-12,1,8.98,Berglunds snabbköp,Christina Berglund,Order Administrator,Luleå,Sweden,55,19.2,20,0.0,384.0,Pâté chinois,24 boxes x 2 pies,24.0,0,6,Meat & Poultry,Prepared meats,Speedy Express
